fire_year,general_cause_desc,isNaturalCaused,true_cause,assessment_hectares,current_size,fire_spread_rate,fire_type,fire_position_on_slope,weather_conditions_over_fire,temperature,relative_humidity,wind_direction,wind_speed
2006,Lightning,1,,0.2,0.09,0.2,Crown,Flat,Cloudy,27,35,NW,8
2006,Lightning,1,,0.2,0.2,0,Surface,Flat,Clear,16,40,W,10
2006,Lightning,1,,0.2,0.2,0,Ground,Flat,Clear,16,40,W,10
2006,Lightning,1,,0.2,0.2,0,Ground,Flat,Clear,16,40,W,10
2006,Lightning,1,,5.5,32.2,0.5,Surface,Middle 1/3,Cloudy,24,75,NW,7
2006,Lightning,1,,3.5,22.4,0.5,Surface,Flat,Cloudy,24,75,NW,7
2006,Lightning,1,,0.01,0.01,0,Surface,Middle 1/3,Clear,23,40,CLM,0
2006,Lightning,1,,0.01,0.01,0,Ground,Flat,Cloudy,18,45,NE,15
2006,Lightning,1,,0.1,0.1,0.1,Surface,Bottom,Clear,23,60,E,5
2006,Lightning,1,,3,3,10,Crown,Flat,CB Dry,20,50,E,10
2006,Lightning,1,,0.2,0.26,0,Surface,Flat,Clear,23,66,NW,18
2006,Lightning,1,,0.01,0.01,0.1,Surface,Flat,CB Dry,30,32,NW,3
2006,Lightning,1,,0.1,0.1,0,Surface,Flat,Clear,23,40,NE,15
2006,Lightning,1,,0.01,0.3,1,Surface,Flat,Cloudy,32,28,CLM,0
2006,Lightning,1,,0.01,1,0,Ground,Flat,Cloudy,9,94,S,7
2006,Incendiary,0,Arson Suspected,0.2,0.2,0,Surface,Flat,Cloudy,33,25,SE,20
2006,Lightning,1,,0.01,0.01,0.1,Surface,Flat,Cloudy,13,90,W,15
2006,Resident,0,Permit Related,0.01,0.01,0,Ground,Flat,Clear,16,16,SW,14
2006,Lightning,1,,0.1,0.2,1,Surface,Flat,Clear,20,35,N,5
2006,Lightning,1,,0.5,1,0.1,Surface,Flat,Cloudy,25,52,NW,10
2006,Lightning,1,,1.5,4.8,2,Crown,Flat,Clear,26,37,NE,10
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,Cloudy,25.5,28,SE,2
2006,Lightning,1,,1.5,133,4,Crown,Flat,CB Dry,30,35,S,30
2006,Railroad,0,,0.09,0.09,0,Surface,Middle 1/3,Cloudy,27,27,SE,4
2006,Lightning,1,,0.1,0.1,0,Ground,Flat,Clear,23,54,SE,5
2006,Incendiary,0,Arson Known,0.3,0.1,0.5,Surface,Flat,Clear,25,40,E,5
